시도,시군구,구분,2012,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,
,,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,
,김천시,발생건수,649,345,25,4,,10,306,293,203,90,,,11,11,,,,,626,355,19,2,2,6,326,256,179,77,,,15,15,,,,,619,315,18,5,,4,288,268,158,110,,,36,36,,,,,612,353,12,4,2,2,333,248,154,94,,,11,11,,,,,565,309,22,1,,1,285,236,176,60,,,19,19,,,1,1
,,사망자수,29,28,0,0,,1,27,1,0,1,,,0,0,,,,,32,26,1,0,0,2,23,6,4,2,,,0,0,,,,,27,18,1,0,,0,17,8,5,3,,,1,1,,,,,29,25,1,0,1,0,23,4,1,3,,,0,0,,,,,23,20,1,1,,1,17,3,2,1,,,0,0,,,0,0
,,부상자수,949,487,29,4,,18,436,451,312,139,,,11,11,,,,,872,500,20,2,3,14,461,357,244,113,,,15,15,,,,,896,446,18,5,,5,418,412,265,147,,,38,38,,,,,880,485,11,4,2,2,466,378,245,133,,,17,17,,,,,798,445,22,0,,1,422,331,254,77,,,21,21,,,1,1
,,중상자수,326,188,13,1,,9,165,133,82,51,,,5,5,,,,,298,186,8,1,1,8,168,106,77,29,,,6,6,,,,,317,162,12,4,,4,142,140,86,54,,,15,15,,,,,355,215,8,2,0,1,204,135,91,44,,,5,5,,,,,271,149,13,0,,0,136,112,96,16,,,9,9,,,1,1
,,경상자수,613,292,16,3,,8,265,315,228,87,,,6,6,,,,,565,308,12,1,2,6,287,248,164,84,,,9,9,,,,,559,276,6,1,,1,268,262,173,89,,,21,21,,,,,519,265,3,2,2,1,257,242,153,89,,,12,12,,,,,514,287,9,0,,1,277,215,155,60,,,12,12,,,0,0
,,부상신고자수,10,7,0,0,,1,6,3,2,1,,,0,0,,,,,9,6,0,0,0,0,6,3,3,0,,,0,0,,,,,20,8,0,0,,0,8,10,6,4,,,2,2,,,,,6,5,0,0,0,0,5,1,1,0,,,0,0,,,,,13,9,0,0,,0,9,4,3,1,,,0,0,,,0,0
,안동시,발생건수,1167,614,33,6,2,15,558,472,307,165,,,79,79,2,2,,,1164,588,31,5,1,9,542,432,283,149,,,144,144,,,,,1121,511,13,7,,8,483,503,306,197,,,104,104,2,2,1,1,1113,591,20,14,,11,546,486,322,164,,,35,35,1,1,,,1060,601,21,4,1,15,560,434,312,122,,,25,25,,,,
,,사망자수,37,30,2,0,1,0,27,5,5,0,,,2,2,0,0,,,21,13,0,0,0,0,13,5,3,2,,,3,3,,,,,27,16,0,0,,0,16,9,5,4,,,2,2,0,0,0,0,37,28,0,0,,1,27,9,8,1,,,0,0,0,0,,,38,28,4,2,0,1,21,9,5,4,,,1,1,,,,
,,부상자수,1876,967,34,6,14,32,881,790,534,256,,,117,117,2,2,,,1832,915,32,11,4,19,849,701,473,228,,,216,216,,,,,1839,784,14,12,,18,740,885,561,324,,,165,165,4,4,1,1,1691,844,23,17,,17,787,792,523,269,,,54,54,1,1,,,1679,947,22,3,1,32,889,703,509,194,,,29,29,,,,
,,중상자수,688,376,20,3,6,15,332,260,171,89,,,51,51,1,1,,,631,324,22,2,2,6,292,239,157,82,,,68,68,,,,,570,252,7,8,,3,234,263,169,94,,,53,53,2,2,0,0,514,262,6,7,,8,241,242,170,72,,,9,9,1,1,,,485,290,11,1,1,8,269,186,139,47,,,9,9,,,,
,,경상자수,1108,549,13,2,7,16,511,497,335,162,,,62,62,0,0,,,1080,523,8,9,2,13,491,426,293,133,,,131,131,,,,,1208,501,7,4,,14,476,602,376,226,,,102,102,2,2,1,1,1088,534,15,10,,8,501,514,322,192,,,40,40,0,0,,,1109,601,10,2,0,24,565,489,353,136,,,19,19,,,,
,,부상신고자수,80,42,1,1,1,1,38,33,28,5,,,4,4,1,1,,,121,68,2,0,0,0,66,36,23,13,,,17,17,,,,,61,31,0,0,,1,30,20,16,4,,,10,10,0,0,0,0,89,48,2,0,,1,45,36,31,5,,,5,5,0,0,,,85,56,1,0,0,0,55,28,17,11,,,1,1,,,,
,구미시,발생건수,2395,1044,50,14,3,16,961,1163,686,477,,,183,183,5,5,,,2122,876,30,7,2,17,820,1146,670,476,,,98,98,2,2,,,2079,872,41,7,4,11,809,1051,672,379,,,149,149,3,3,4,4,2181,933,44,7,4,18,860,1130,664,466,,,115,115,3,3,,,1992,852,25,8,1,11,807,1032,674,358,,,106,106,1,1,1,1
,,사망자수,46,32,2,0,0,1,29,12,7,5,,,2,2,0,0,,,51,30,1,1,0,0,28,20,14,6,,,1,1,0,0,,,45,29,0,0,0,1,28,13,8,5,,,3,3,0,0,0,0,47,31,2,0,1,2,26,13,7,6,,,3,3,0,0,,,40,26,3,0,0,0,23,11,5,6,,,3,3,0,0,0,0
,,부상자수,3754,1569,49,15,12,23,1470,1940,1139,801,,,238,238,7,7,,,3292,1363,33,8,3,28,1291,1811,1042,769,,,116,116,2,2,,,3070,1282,48,9,8,21,1196,1578,1009,569,,,195,195,7,7,8,8,3170,1329,49,9,25,25,1221,1706,986,720,,,132,132,3,3,,,2999,1250,23,11,2,25,1189,1607,1056,551,,,136,136,5,5,1,1
,,중상자수,1141,547,25,8,4,12,498,540,320,220,,,53,53,1,1,,,1090,473,16,3,0,13,441,587,354,233,,,29,29,1,1,,,935,427,29,5,1,8,384,454,310,144,,,52,52,1,1,1,1,917,403,29,2,9,8,355,484,290,194,,,29,29,1,1,,,783,351,16,4,1,9,321,404,287,117,,,28,28,0,0,0,0
,,경상자수,2495,962,23,7,8,11,913,1346,784,562,,,182,182,5,5,,,2070,824,15,5,3,13,788,1164,646,518,,,81,81,1,1,,,1878,749,17,3,7,8,714,991,607,384,,,125,125,6,6,7,7,1863,739,18,6,16,12,687,1038,574,464,,,85,85,1,1,,,1973,776,6,6,1,15,748,1092,680,412,,,100,100,5,5,0,0
,,부상신고자수,118,60,1,0,0,0,59,54,35,19,,,3,3,1,1,,,132,66,2,0,0,2,62,60,42,18,,,6,6,0,0,,,257,106,2,1,0,5,98,133,92,41,,,18,18,0,0,0,0,390,187,2,1,0,5,179,184,122,62,,,18,18,1,1,,,243,123,1,1,0,1,120,111,89,22,,,8,8,0,0,1,1
,영주시,발생건수,655,264,5,6,2,4,247,373,252,121,,,17,17,1,1,,,653,284,11,,2,7,264,357,258,99,,,9,9,1,1,2,2,624,280,22,1,,1,256,334,263,71,,,10,10,,,,,682,309,26,4,,5,274,343,259,84,,,29,29,1,1,,,614,268,16,,,4,248,339,265,74,,,6,6,1,1,,
,,사망자수,16,9,1,0,0,0,8,7,6,1,,,0,0,0,0,,,18,13,0,,0,1,12,5,4,1,,,0,0,0,0,0,0,15,12,1,0,,0,11,3,3,0,,,0,0,,,,,15,10,0,0,,0,10,5,4,1,,,0,0,0,0,,,11,8,0,,,0,8,3,2,1,,,0,0,0,0,,
,,부상자수,1056,385,5,7,2,10,361,641,440,201,,,27,27,3,3,,,1006,436,11,,2,12,411,552,417,135,,,13,13,3,3,2,2,1036,411,24,1,,1,385,613,509,104,,,12,12,,,,,979,400,28,4,,6,362,541,413,128,,,32,32,6,6,,,906,389,19,,,7,363,509,396,113,,,7,7,1,1,,
,,중상자수,443,180,3,2,0,2,173,250,183,67,,,12,12,1,1,,,414,193,6,,1,5,181,215,165,50,,,3,3,1,1,2,2,348,142,12,1,,0,129,202,166,36,,,4,4,,,,,331,164,14,1,,1,148,157,117,40,,,9,9,1,1,,,275,126,9,,,3,114,146,106,40,,,3,3,0,0,,
,,경상자수,591,196,2,4,2,8,180,378,247,131,,,15,15,2,2,,,585,242,5,,1,7,229,331,246,85,,,10,10,2,2,0,0,678,266,12,0,,1,253,404,336,68,,,8,8,,,,,638,233,14,3,,5,211,377,290,87,,,23,23,5,5,,,598,253,10,,,4,239,340,270,70,,,4,4,1,1,,
,,부상신고자수,22,9,0,1,0,0,8,13,10,3,,,0,0,0,0,,,7,1,0,,0,0,1,6,6,0,,,0,0,0,0,0,0,10,3,0,0,,0,3,7,7,0,,,0,0,,,,,10,3,0,0,,0,3,7,6,1,,,0,0,0,0,,,33,10,0,,,0,10,23,20,3,,,0,0,0,0,,
,영천시,발생건수,752,350,11,1,3,8,327,340,228,112,,,59,59,2,2,1,1,671,341,6,1,3,1,330,259,188,71,,,70,70,,,1,1,642,363,6,1,3,3,350,241,169,72,,,34,34,1,1,3,3,711,455,11,,,6,438,253,204,49,1,1,1,1,,,1,1,671,350,14,,3,5,328,316,211,105,,,4,4,1,1,,
,,사망자수,28,20,2,0,0,0,18,7,5,2,,,1,1,0,0,0,0,28,20,0,0,0,0,20,6,3,3,,,2,2,,,0,0,21,16,0,0,1,0,15,3,2,1,,,1,1,1,1,0,0,36,31,1,,,1,29,5,4,1,0,0,0,0,,,0,0,23,16,2,,0,0,14,7,4,3,,,0,0,0,0,,
,,부상자수,1150,527,11,1,5,14,496,526,350,176,,,87,87,9,9,1,1,1072,528,8,2,3,1,514,436,307,129,,,107,107,,,1,1,983,547,8,1,7,4,527,387,288,99,,,43,43,0,0,6,6,1061,626,10,,,17,599,432,351,81,1,1,1,1,,,1,1,1095,555,13,,3,10,529,528,351,177,,,7,7,5,5,,
,,중상자수,360,200,6,0,1,7,186,134,103,31,,,21,21,5,5,0,0,365,204,4,1,0,0,199,127,91,36,,,33,33,,,1,1,325,208,5,1,1,4,197,101,72,29,,,16,16,0,0,0,0,351,232,8,,,9,215,119,96,23,0,0,0,0,,,0,0,298,168,6,,1,1,160,123,92,31,,,2,2,5,5,,
,,경상자수,731,298,5,0,4,5,284,370,239,131,,,59,59,4,4,0,0,667,302,4,0,3,1,294,292,209,83,,,73,73,,,0,0,614,312,3,0,6,0,303,272,207,65,,,26,26,0,0,4,4,668,371,2,,,7,362,294,237,57,1,1,1,1,,,1,1,753,367,7,,1,9,350,381,246,135,,,5,5,0,0,,
,,부상신고자수,59,29,0,1,0,2,26,22,8,14,,,7,7,0,0,1,1,40,22,0,1,0,0,21,17,7,10,,,1,1,,,0,0,44,27,0,0,0,0,27,14,9,5,,,1,1,0,0,2,2,42,23,0,,,1,22,19,18,1,0,0,0,0,,,0,0,44,20,0,,1,0,19,24,13,11,,,0,0,0,0,,
,문경시,발생건수,406,177,3,1,2,7,164,220,170,50,,,9,9,,,,,434,189,6,4,1,3,175,230,168,62,,,15,15,,,,,403,179,,1,3,1,174,205,162,43,,,18,18,1,1,,,401,212,3,,6,3,200,185,152,33,,,4,4,,,,,460,197,2,,4,7,184,254,192,62,1,1,8,8,,,,
,,사망자수,17,13,1,0,0,2,10,4,3,1,,,0,0,,,,,25,19,0,1,0,0,18,6,6,0,,,0,0,,,,,13,9,,0,1,0,8,3,3,0,,,1,1,0,0,,,14,13,1,,3,0,9,1,1,0,,,0,0,,,,,18,15,0,,1,1,13,3,1,2,0,0,0,0,,,,
,,부상자수,622,269,2,1,3,14,249,339,273,66,,,14,14,,,,,751,316,6,3,3,12,292,419,314,105,,,16,16,,,,,586,240,,1,4,3,232,325,264,61,,,19,19,2,2,,,608,300,2,,7,7,284,304,248,56,,,4,4,,,,,741,299,2,,15,10,272,432,342,90,2,2,8,8,,,,
,,중상자수,252,123,1,1,0,5,116,123,99,24,,,6,6,,,,,271,126,2,0,2,7,115,141,104,37,,,4,4,,,,,178,91,,1,2,2,86,80,70,10,,,5,5,2,2,,,193,110,2,,0,7,101,82,69,13,,,1,1,,,,,215,106,1,,7,3,95,105,83,22,2,2,2,2,,,,
,,경상자수,344,134,1,0,3,8,122,203,163,40,,,7,7,,,,,465,181,4,3,1,5,168,273,206,67,,,11,11,,,,,389,145,,0,2,1,142,230,184,46,,,14,14,0,0,,,400,182,0,,7,0,175,216,174,42,,,2,2,,,,,497,178,1,,8,7,162,313,246,67,0,0,6,6,,,,
,,부상신고자수,26,12,0,0,0,1,11,13,11,2,,,1,1,,,,,15,9,0,0,0,0,9,5,4,1,,,1,1,,,,,19,4,,0,0,0,4,15,10,5,,,0,0,0,0,,,15,8,0,,0,0,8,6,5,1,,,1,1,,,,,29,15,0,,0,0,15,14,13,1,0,0,0,0,,,,
,상주시,발생건수,488,271,4,4,4,1,258,215,173,42,,,2,2,,,,,607,312,9,,3,2,298,287,209,78,,,8,8,,,,,520,270,4,,3,4,259,242,203,39,,,8,8,,,,,610,334,11,1,7,16,299,244,182,62,,,31,31,,,1,1,585,331,8,2,2,7,312,249,196,53,,,3,3,,,2,2
,,사망자수,39,32,0,0,2,0,30,7,6,1,,,0,0,,,,,29,24,0,,0,0,24,5,2,3,,,0,0,,,,,33,28,0,,1,0,27,5,5,0,,,0,0,,,,,24,19,0,0,1,1,17,4,4,0,,,1,1,,,0,0,26,15,0,0,0,0,15,10,9,1,,,1,1,,,0,0
,,부상자수,709,416,4,4,12,2,394,291,230,61,,,2,2,,,,,834,421,11,,4,3,403,405,313,92,,,8,8,,,,,704,372,5,,6,6,355,324,273,51,,,8,8,,,,,884,509,12,2,43,28,424,338,261,77,,,36,36,,,1,1,854,471,8,2,7,15,439,379,313,66,,,2,2,,,2,2
,,중상자수,401,234,4,3,3,1,223,167,137,30,,,0,0,,,,,479,263,6,,3,1,253,211,159,52,,,5,5,,,,,306,170,2,,1,2,165,132,113,19,,,4,4,,,,,368,216,8,0,6,7,195,142,109,33,,,10,10,,,0,0,342,190,5,2,2,3,178,149,123,26,,,1,1,,,2,2
,,경상자수,296,175,0,1,9,1,164,119,89,30,,,2,2,,,,,338,148,5,,1,0,142,187,150,37,,,3,3,,,,,367,183,2,,5,4,172,182,150,32,,,2,2,,,,,456,257,3,2,35,18,199,175,137,38,,,23,23,,,1,1,500,274,3,0,5,12,254,225,186,39,,,1,1,,,0,0
,,부상신고자수,12,7,0,0,0,0,7,5,4,1,,,0,0,,,,,17,10,0,,0,2,8,7,4,3,,,0,0,,,,,31,19,1,,0,0,18,10,10,0,,,2,2,,,,,60,36,1,0,2,3,30,21,15,6,,,3,3,,,0,0,12,7,0,0,0,0,7,5,4,1,,,0,0,,,0,0
,군위군,발생건수,113,72,1,,,3,68,38,17,21,,,3,3,,,,,94,57,,,,2,55,37,22,15,,,,,,,,,113,69,1,1,1,,66,42,31,11,,,2,2,,,,,127,66,1,2,,1,62,60,42,18,,,1,1,,,,,117,65,,2,,,63,51,32,19,,,1,1,,,,
,,사망자수,11,9,0,,,1,8,2,1,1,,,0,0,,,,,18,15,,,,1,14,3,2,1,,,,,,,,,9,6,0,0,0,,6,3,1,2,,,0,0,,,,,12,11,0,0,,1,10,1,1,0,,,0,0,,,,,18,11,,0,,,11,7,3,4,,,0,0,,,,
,,부상자수,142,86,1,,,4,81,51,22,29,,,5,5,,,,,133,87,,,,1,86,46,26,20,,,,,,,,,163,98,1,1,1,,95,62,48,14,,,3,3,,,,,185,81,1,2,,0,78,101,69,32,,,3,3,,,,,154,92,,2,,,90,61,44,17,,,1,1,,,,
,,중상자수,78,46,0,,,4,42,32,17,15,,,0,0,,,,,58,35,,,,0,35,23,14,9,,,,,,,,,81,51,1,1,1,,48,27,22,5,,,3,3,,,,,88,44,0,0,,0,44,41,28,13,,,3,3,,,,,68,37,,1,,,36,30,23,7,,,1,1,,,,
,,경상자수,57,37,1,,,0,36,16,3,13,,,4,4,,,,,68,49,,,,0,49,19,10,9,,,,,,,,,69,37,0,0,0,,37,32,23,9,,,0,0,,,,,83,28,1,1,,0,26,55,37,18,,,0,0,,,,,72,46,,1,,,45,26,19,7,,,0,0,,,,
,,부상신고자수,7,3,0,,,0,3,3,2,1,,,1,1,,,,,7,3,,,,1,2,4,2,2,,,,,,,,,13,10,0,0,0,,10,3,3,0,,,0,0,,,,,14,9,0,1,,0,8,5,4,1,,,0,0,,,,,14,9,,0,,,9,5,2,3,,,0,0,,,,
,의성군,발생건수,205,114,3,,,2,109,89,70,19,,,2,2,,,,,200,110,2,1,1,3,103,87,66,21,,,3,3,,,,,255,150,1,1,,2,146,102,82,20,,,2,2,1,1,,,250,145,,,,5,140,105,81,24,,,,,,,,,241,139,1,2,,3,133,99,71,28,,,1,1,2,2,,
,,사망자수,26,22,0,,,1,21,4,3,1,,,0,0,,,,,15,12,0,0,0,0,12,3,3,0,,,0,0,,,,,16,13,1,0,,0,12,3,2,1,,,0,0,0,0,,,12,10,,,,2,8,2,2,0,,,,,,,,,22,16,0,0,,2,14,5,3,2,,,0,0,1,1,,
,,부상자수,306,170,3,,,1,166,134,107,27,,,2,2,,,,,242,125,2,1,1,4,117,112,85,27,,,5,5,,,,,371,226,0,1,,2,223,139,106,33,,,5,5,1,1,,,370,209,,,,6,203,161,127,34,,,,,,,,,323,182,1,2,,1,178,138,104,34,,,1,1,2,2,,
,,중상자수,177,113,3,,,1,109,62,45,17,,,2,2,,,,,140,79,1,1,1,2,74,57,42,15,,,4,4,,,,,212,135,0,0,,1,134,72,55,17,,,4,4,1,1,,,166,110,,,,2,108,56,44,12,,,,,,,,,150,84,1,1,,0,82,64,46,18,,,0,0,2,2,,
,,경상자수,128,57,0,,,0,57,71,61,10,,,0,0,,,,,96,42,1,0,0,2,39,53,41,12,,,1,1,,,,,142,79,0,1,,1,77,62,47,15,,,1,1,0,0,,,195,93,,,,4,89,102,81,21,,,,,,,,,168,97,0,1,,1,95,70,55,15,,,1,1,0,0,,
,,부상신고자수,1,0,0,,,0,0,1,1,0,,,0,0,,,,,6,4,0,0,0,0,4,2,2,0,,,0,0,,,,,17,12,0,0,,0,12,5,4,1,,,0,0,0,0,,,9,6,,,,0,6,3,2,1,,,,,,,,,5,1,0,0,,0,1,4,3,1,,,0,0,0,0,,
,청송군,발생건수,128,87,2,,1,4,80,37,27,10,,,4,4,,,,,124,87,5,,,,82,33,27,6,,,4,4,,,,,143,97,1,,,4,92,46,41,5,,,,,,,,,120,93,1,,,,92,27,24,3,,,,,,,,,106,77,,,,1,76,27,24,3,,,2,2,,,,
,,사망자수,13,13,0,,1,0,12,0,0,0,,,0,0,,,,,10,7,0,,,,7,3,2,1,,,0,0,,,,,12,10,0,,,0,10,2,2,0,,,,,,,,,6,5,0,,,,5,1,1,0,,,,,,,,,8,7,,,,0,7,1,1,0,,,0,0,,,,
,,부상자수,194,129,2,,0,5,122,60,43,17,,,5,5,,,,,184,133,6,,,,127,46,40,6,,,5,5,,,,,224,151,1,,,8,142,73,67,6,,,,,,,,,174,131,1,,,,130,43,40,3,,,,,,,,,164,122,,,,2,120,40,35,5,,,2,2,,,,
,,중상자수,101,69,2,,0,2,65,31,19,12,,,1,1,,,,,87,64,2,,,,62,19,17,2,,,4,4,,,,,112,83,0,,,4,79,29,26,3,,,,,,,,,83,64,0,,,,64,19,18,1,,,,,,,,,83,62,,,,0,62,21,18,3,,,0,0,,,,
,,경상자수,84,52,0,,0,1,51,28,24,4,,,4,4,,,,,88,62,4,,,,58,25,21,4,,,1,1,,,,,104,63,1,,,3,59,41,38,3,,,,,,,,,84,62,1,,,,61,22,20,2,,,,,,,,,78,58,,,,2,56,18,16,2,,,2,2,,,,
,,부상신고자수,9,8,0,,0,2,6,1,0,1,,,0,0,,,,,9,7,0,,,,7,2,2,0,,,0,0,,,,,8,5,0,,,1,4,3,3,0,,,,,,,,,7,5,0,,,,5,2,2,0,,,,,,,,,3,2,,,,0,2,1,1,0,,,0,0,,,,
,영양군,발생건수,78,59,,,1,2,56,19,10,9,,,,,,,,,83,62,,,,2,60,17,14,3,,,4,4,,,,,80,52,,1,,,51,27,24,3,,,1,1,,,,,78,57,1,,,1,55,21,15,6,,,,,,,,,81,50,,,,3,47,31,25,6,,,,,,,,
,,사망자수,4,4,,,0,0,4,0,0,0,,,,,,,,,2,1,,,,0,1,0,0,0,,,1,1,,,,,5,5,,0,,,5,0,0,0,,,0,0,,,,,6,4,0,,,0,4,2,2,0,,,,,,,,,5,4,,,,0,4,1,1,0,,,,,,,,
,,부상자수,138,104,,,4,3,97,34,19,15,,,,,,,,,132,107,,,,3,104,22,18,4,,,3,3,,,,,134,70,,1,,,69,63,59,4,,,1,1,,,,,124,89,1,,,7,81,35,27,8,,,,,,,,,116,73,,,,3,70,43,35,8,,,,,,,,
,,중상자수,62,44,,,0,2,42,18,13,5,,,,,,,,,54,43,,,,1,42,8,7,1,,,3,3,,,,,47,29,,0,,,29,17,15,2,,,1,1,,,,,43,31,0,,,2,29,12,10,2,,,,,,,,,57,40,,,,1,39,17,14,3,,,,,,,,
,,경상자수,75,59,,,4,1,54,16,6,10,,,,,,,,,74,60,,,,0,60,14,11,3,,,0,0,,,,,86,40,,1,,,39,46,44,2,,,0,0,,,,,73,52,1,,,5,46,21,16,5,,,,,,,,,56,32,,,,2,30,24,19,5,,,,,,,,
,,부상신고자수,1,1,,,0,0,1,0,0,0,,,,,,,,,4,4,,,,2,2,0,0,0,,,0,0,,,,,1,1,,0,,,1,0,0,0,,,0,0,,,,,8,6,0,,,0,6,2,1,1,,,,,,,,,3,1,,,,0,1,2,2,0,,,,,,,,
,영덕군,발생건수,233,104,3,,,3,98,82,54,28,,,47,47,,,,,228,128,,1,,2,125,94,62,32,,,6,6,,,,,227,148,2,,,,146,79,55,24,,,,,,,,,266,169,1,1,,1,166,91,67,24,,,6,6,,,,,255,142,,,1,1,140,108,81,27,,,5,5,,,,
,,사망자수,17,10,1,,,0,9,4,2,2,,,3,3,,,,,8,5,,0,,0,5,3,2,1,,,0,0,,,,,13,10,0,,,,10,3,3,0,,,,,,,,,12,9,0,0,,0,9,3,1,2,,,0,0,,,,,17,14,,,0,0,14,3,3,0,,,0,0,,,,
,,부상자수,369,152,2,,,5,145,146,94,52,,,71,71,,,,,396,211,,1,,4,206,177,122,55,,,8,8,,,,,406,233,3,,,,230,173,94,79,,,,,,,,,466,299,1,1,,2,295,158,119,39,,,9,9,,,,,463,246,,,1,1,244,206,138,68,,,11,11,,,,
,,중상자수,178,82,1,,,4,77,59,38,21,,,37,37,,,,,174,100,,1,,2,97,70,54,16,,,4,4,,,,,166,118,1,,,,117,48,32,16,,,,,,,,,177,115,1,0,,0,114,62,53,9,,,0,0,,,,,153,90,,,0,1,89,63,42,21,,,0,0,,,,
,,경상자수,182,68,1,,,1,66,82,51,31,,,32,32,,,,,207,104,,0,,2,102,100,64,36,,,3,3,,,,,223,108,2,,,,106,115,56,59,,,,,,,,,267,168,0,1,,2,165,90,62,28,,,9,9,,,,,302,154,,,1,0,153,139,96,43,,,9,9,,,,
,,부상신고자수,9,2,0,,,0,2,5,5,0,,,2,2,,,,,15,7,,0,,0,7,7,4,3,,,1,1,,,,,17,7,0,,,,7,10,6,4,,,,,,,,,22,16,0,0,,0,16,6,4,2,,,0,0,,,,,8,2,,,0,0,2,4,0,4,,,2,2,,,,
,청도군,발생건수,226,152,2,2,,3,145,71,59,12,,,3,3,,,,,216,135,3,1,,6,125,75,65,10,,,4,4,,,2,2,231,125,6,3,1,5,110,87,58,29,,,18,18,1,1,,,245,138,3,,1,3,131,97,84,13,,,10,10,,,,,183,89,2,,,,87,67,53,14,,,26,26,,,1,1
,,사망자수,12,11,1,1,,0,9,1,0,1,,,0,0,,,,,19,14,1,0,,1,12,3,3,0,,,1,1,,,1,1,15,12,1,0,1,1,9,3,2,1,,,0,0,0,0,,,9,8,0,,0,0,8,1,1,0,,,0,0,,,,,19,15,0,,,,15,3,1,2,,,1,1,,,0,0
,,부상자수,339,212,1,1,,3,207,122,108,14,,,5,5,,,,,328,205,2,1,,6,196,118,101,17,,,4,4,,,1,1,375,202,5,5,1,11,180,144,93,51,,,28,28,1,1,,,465,251,3,,4,6,238,198,175,23,,,16,16,,,,,287,121,3,,,,118,126,101,25,,,39,39,,,1,1
,,중상자수,154,100,1,0,,2,97,50,42,8,,,4,4,,,,,145,99,2,1,,5,91,45,40,5,,,0,0,,,1,1,157,101,2,2,1,6,90,47,34,13,,,8,8,1,1,,,182,101,3,,0,2,96,80,70,10,,,1,1,,,,,96,44,1,,,,43,34,28,6,,,17,17,,,1,1
,,경상자수,177,105,0,1,,1,103,71,65,6,,,1,1,,,,,178,105,0,0,,1,104,69,59,10,,,4,4,,,0,0,203,94,3,3,0,5,83,90,53,37,,,19,19,0,0,,,262,134,0,,4,4,126,114,101,13,,,14,14,,,,,186,74,2,,,,72,91,72,19,,,21,21,,,0,0
,,부상신고자수,8,7,0,0,,0,7,1,1,0,,,0,0,,,,,5,1,0,0,,0,1,4,2,2,,,0,0,,,0,0,15,7,0,0,0,0,7,7,6,1,,,1,1,0,0,,,21,16,0,,0,0,16,4,4,0,,,1,1,,,,,5,3,0,,,,3,1,1,0,,,1,1,,,0,0
,고령군,발생건수,206,126,3,,1,6,116,70,49,21,,,10,10,,,,,190,106,2,2,2,5,95,75,46,29,,,9,9,,,,,201,117,5,3,2,2,105,72,48,24,,,12,12,,,,,237,146,4,,5,3,134,87,71,16,,,4,4,,,,,214,126,4,1,,2,119,82,57,25,,,6,6,,,,
,,사망자수,18,15,0,,1,1,13,3,1,2,,,0,0,,,,,13,12,0,0,1,0,11,1,1,0,,,0,0,,,,,15,13,0,2,0,0,11,2,1,1,,,0,0,,,,,13,11,1,,0,1,9,2,2,0,,,0,0,,,,,9,5,0,0,,0,5,3,3,0,,,1,1,,,,
,,부상자수,321,203,3,,1,6,193,105,82,23,,,13,13,,,,,324,161,2,4,4,12,139,154,88,66,,,9,9,,,,,296,167,7,1,7,2,150,115,81,34,,,14,14,,,,,400,249,3,,12,5,229,146,123,23,,,5,5,,,,,282,161,4,1,,2,154,115,81,34,,,6,6,,,,
,,중상자수,132,88,1,,0,5,82,34,23,11,,,10,10,,,,,108,69,0,3,4,4,58,38,26,12,,,1,1,,,,,108,65,1,1,1,2,60,38,30,8,,,5,5,,,,,133,90,2,,3,2,83,40,35,5,,,3,3,,,,,97,68,2,1,,2,63,29,22,7,,,0,0,,,,
,,경상자수,178,108,2,,1,1,104,67,56,11,,,3,3,,,,,206,88,2,1,0,8,77,110,59,51,,,8,8,,,,,177,96,6,0,6,0,84,73,50,23,,,8,8,,,,,263,158,1,,9,3,145,103,88,15,,,2,2,,,,,180,91,1,0,,0,90,83,56,27,,,6,6,,,,
,,부상신고자수,11,7,0,,0,0,7,4,3,1,,,0,0,,,,,10,4,0,0,0,0,4,6,3,3,,,0,0,,,,,11,6,0,0,0,0,6,4,1,3,,,1,1,,,,,4,1,0,,0,0,1,3,0,3,,,0,0,,,,,5,2,1,0,,0,1,3,3,0,,,0,0,,,,
,성주군,발생건수,299,182,,2,,7,173,115,80,35,,,2,2,,,,,286,148,3,1,,5,139,110,91,19,,,28,28,,,,,267,72,,,,6,66,93,78,15,,,101,101,,,1,1,251,46,3,,,3,40,81,56,25,,,124,124,,,,,249,97,1,1,,,95,73,50,23,,,79,79,,,,
,,사망자수,13,12,,0,,0,12,1,1,0,,,0,0,,,,,15,11,0,0,,0,11,3,1,2,,,1,1,,,,,12,5,,,,0,5,3,2,1,,,4,4,,,0,0,21,7,0,,,1,6,4,4,0,,,10,10,,,,,25,14,0,0,,,14,4,1,3,,,7,7,,,,
,,부상자수,487,273,,2,,14,257,212,150,62,,,2,2,,,,,438,211,3,2,,7,199,194,168,26,,,33,33,,,,,391,122,,,,11,111,134,114,20,,,132,132,,,3,3,362,71,3,,,7,61,126,93,33,,,165,165,,,,,366,127,1,1,,,125,121,93,28,,,118,118,,,,
